date,areaName,areaType,hospitalCases
2020-06-29,United Kingdom,overview,
2020-06-28,United Kingdom,overview,
2020-06-27,United Kingdom,overview,
2020-06-26,United Kingdom,overview,
2020-06-25,United Kingdom,overview,
2020-06-24,United Kingdom,overview,
2020-06-23,United Kingdom,overview,
2020-06-22,United Kingdom,overview,4657
2020-06-21,United Kingdom,overview,4649
2020-06-20,United Kingdom,overview,4649
2020-06-19,United Kingdom,overview,4848
2020-06-18,United Kingdom,overview,4993
2020-06-17,United Kingdom,overview,5176
2020-06-16,United Kingdom,overview,5315
2020-06-15,United Kingdom,overview,5285
2020-06-14,United Kingdom,overview,5315
2020-06-13,United Kingdom,overview,5387
2020-06-12,United Kingdom,overview,5496
2020-06-11,United Kingdom,overview,5581
2020-06-10,United Kingdom,overview,5823
2020-06-09,United Kingdom,overview,6104
2020-06-08,United Kingdom,overview,6279
2020-06-07,United Kingdom,overview,6354
2020-06-06,United Kingdom,overview,6643
2020-06-05,United Kingdom,overview,6800
2020-06-04,United Kingdom,overview,7039
2020-06-03,United Kingdom,overview,7228
2020-06-02,United Kingdom,overview,7435
2020-06-01,United Kingdom,overview,7553
2020-05-31,United Kingdom,overview,7502
2020-05-30,United Kingdom,overview,7598
2020-05-29,United Kingdom,overview,7859
2020-05-28,United Kingdom,overview,8224
2020-05-27,United Kingdom,overview,8491
2020-05-26,United Kingdom,overview,8799
2020-05-25,United Kingdom,overview,8800
2020-05-24,United Kingdom,overview,8806
2020-05-23,United Kingdom,overview,8898
2020-05-22,United Kingdom,overview,9248
2020-05-21,United Kingdom,overview,9266
2020-05-20,United Kingdom,overview,9470
2020-05-19,United Kingdom,overview,9917
2020-05-18,United Kingdom,overview,10001
2020-05-17,United Kingdom,overview,10028
2020-05-16,United Kingdom,overview,10003
2020-05-15,United Kingdom,overview,10398
2020-05-14,United Kingdom,overview,10656
2020-05-13,United Kingdom,overview,11010
2020-05-12,United Kingdom,overview,11320
2020-05-11,United Kingdom,overview,11627
2020-05-10,United Kingdom,overview,11446
2020-05-09,United Kingdom,overview,11763
2020-05-08,United Kingdom,overview,11818
2020-05-07,United Kingdom,overview,12170
2020-05-06,United Kingdom,overview,12680
2020-05-05,United Kingdom,overview,13177
2020-05-04,United Kingdom,overview,13507
2020-05-03,United Kingdom,overview,13647
2020-05-02,United Kingdom,overview,13892
2020-05-01,United Kingdom,overview,14144
2020-04-30,United Kingdom,overview,14672
2020-04-29,United Kingdom,overview,15038
2020-04-28,United Kingdom,overview,15364
2020-04-27,United Kingdom,overview,15999
2020-04-26,United Kingdom,overview,15917
2020-04-25,United Kingdom,overview,16000
2020-04-24,United Kingdom,overview,16449
2020-04-23,United Kingdom,overview,17083
2020-04-22,United Kingdom,overview,17419
2020-04-21,United Kingdom,overview,17943
2020-04-20,United Kingdom,overview,18239
2020-04-19,United Kingdom,overview,18397
2020-04-18,United Kingdom,overview,18420
2020-04-17,United Kingdom,overview,18215
2020-04-16,United Kingdom,overview,19158
2020-04-15,United Kingdom,overview,19370
2020-04-14,United Kingdom,overview,20017
2020-04-13,United Kingdom,overview,20171
2020-04-12,United Kingdom,overview,20692
2020-04-11,United Kingdom,overview,20339
2020-04-10,United Kingdom,overview,20499
2020-04-09,United Kingdom,overview,20384
2020-04-08,United Kingdom,overview,20184
2020-04-07,United Kingdom,overview,19746
2020-04-06,United Kingdom,overview,19037
2020-04-05,United Kingdom,overview,18552
2020-04-04,United Kingdom,overview,17337
2020-04-03,United Kingdom,overview,15478
2020-04-02,United Kingdom,overview,14001
2020-04-01,United Kingdom,overview,13904
2020-03-31,United Kingdom,overview,12926
2020-03-30,United Kingdom,overview,11345
2020-03-29,United Kingdom,overview,9803
2020-03-28,United Kingdom,overview,8616
2020-03-27,United Kingdom,overview,7574
2020-03-26,United Kingdom,overview,
2020-03-25,United Kingdom,overview,
2020-03-24,United Kingdom,overview,
2020-03-23,United Kingdom,overview,
2020-03-22,United Kingdom,overview,
2020-03-21,United Kingdom,overview,
2020-03-20,United Kingdom,overview,
2020-03-19,United Kingdom,overview,
2020-03-18,United Kingdom,overview,
2020-03-17,United Kingdom,overview,
2020-03-16,United Kingdom,overview,
2020-03-15,United Kingdom,overview,
2020-03-14,United Kingdom,overview,
2020-03-13,United Kingdom,overview,
2020-03-12,United Kingdom,overview,
2020-03-11,United Kingdom,overview,
2020-03-10,United Kingdom,overview,
2020-03-09,United Kingdom,overview,
2020-03-08,United Kingdom,overview,
2020-03-07,United Kingdom,overview,
2020-03-06,United Kingdom,overview,
2020-03-05,United Kingdom,overview,
2020-03-04,United Kingdom,overview,
2020-03-03,United Kingdom,overview,
2020-03-02,United Kingdom,overview,
2020-03-01,United Kingdom,overview,
2020-02-29,United Kingdom,overview,
2020-02-28,United Kingdom,overview,
2020-02-27,United Kingdom,overview,
2020-02-26,United Kingdom,overview,
2020-02-25,United Kingdom,overview,
2020-02-24,United Kingdom,overview,
2020-02-23,United Kingdom,overview,
2020-02-22,United Kingdom,overview,
2020-02-21,United Kingdom,overview,
2020-02-20,United Kingdom,overview,
2020-02-19,United Kingdom,overview,
2020-02-18,United Kingdom,overview,
2020-02-17,United Kingdom,overview,
2020-02-16,United Kingdom,overview,
2020-02-15,United Kingdom,overview,
2020-02-14,United Kingdom,overview,
2020-02-13,United Kingdom,overview,
2020-02-12,United Kingdom,overview,
2020-02-11,United Kingdom,overview,
2020-02-10,United Kingdom,overview,
2020-02-09,United Kingdom,overview,
2020-02-08,United Kingdom,overview,
2020-02-07,United Kingdom,overview,
2020-02-06,United Kingdom,overview,
2020-02-05,United Kingdom,overview,
2020-02-04,United Kingdom,overview,
2020-02-03,United Kingdom,overview,
2020-02-02,United Kingdom,overview,
2020-02-01,United Kingdom,overview,
2020-01-31,United Kingdom,overview,
2020-01-30,United Kingdom,overview,
2020-01-29,United Kingdom,overview,
2020-01-28,United Kingdom,overview,
2020-01-27,United Kingdom,overview,
2020-01-26,United Kingdom,overview,
2020-01-25,United Kingdom,overview,
2020-01-24,United Kingdom,overview,
2020-01-23,United Kingdom,overview,
2020-01-22,United Kingdom,overview,
2020-01-21,United Kingdom,overview,
2020-01-20,United Kingdom,overview,
2020-01-19,United Kingdom,overview,
2020-01-18,United Kingdom,overview,
2020-01-17,United Kingdom,overview,
2020-01-16,United Kingdom,overview,
2020-01-15,United Kingdom,overview,
2020-01-14,United Kingdom,overview,
2020-01-13,United Kingdom,overview,
2020-01-12,United Kingdom,overview,
2020-01-11,United Kingdom,overview,
2020-01-10,United Kingdom,overview,
2020-01-09,United Kingdom,overview,
2020-01-08,United Kingdom,overview,
2020-01-07,United Kingdom,overview,
2020-01-06,United Kingdom,overview,
2020-01-05,United Kingdom,overview,
